Card,Description,Attribute 6 Affinity,OLD NAME
Archer Tower,Fast-firing archer that rains arrows upon your enemies' heads.,Sun,Archer Tower
Javelin Tower,Throws javelins at enemies that do great damage.,Moon,Javelin Tower
Longbow Tower,Remarkably long shooting range while sacrificing close combat abilities.,Cloud,Longbow Tower
Scout Tower,Focuses on one enemy and increases damage for every hit against that target.,Sun,Scout Tower
Venom Tower,Unable to strike enemies nearby but the ones further away are susceptible to his poison attacks.,Cloud,Venom Tower
Bolas Tower,Stuns enemies.,Moon,Bolas Tower
Holy Tower,Smites the Undead with divine light; 0.5x damage against all other enemies.,Moon,Holy Tower
Storm Tower,Fries multiple enemies with cascades of supercharged plasma.,Moon,Storm Tower
Lightning Tower,Zaps foes with lightning bolts that penetrate armor.,Cloud,Lightning Tower
Tech Tower,An electrical specialist with a far-reaching chain of lightning to zap an unlucky foe nearby.,Sun,Greenzap Tower
Snowball Tower,"Cheap and cheerful, their snowballs pack a wallop.",Cloud,Snowball Tower
Illuminator Tower,Reveals hidden units and blasts them with eldritch light.,Cloud,Illuminator Tower
Dart Tower,Throws magical darts at enemies that extract extra mana.,Cloud,Dart Tower
Sniper Tower,Long-range marksman whose shot is deadly but slow to reload.,Moon,Sniper Tower
Prism of the Sun,Burns the strongest enemy in range with a devastating beam of light.,Sun,Prism of the Sun
Moonlight Tower,"Shines a devastating beam of light to the strongest enemy in range, damaging close-by units as well.",Moon,Moonlight Tower
Crossbow Tower,Unleashes volleys of explosive bolts at your foes.,Moon,Crossbow Tower
Well of Souls,Grows in power as it swallows the souls of its victims.,Sun,Well of Souls
Aquarium Tower,Targets random enemies with high-impact blowfishes.,Cloud,Aquarium Tower
Volcano Tower,Spews balls of molten rock at random enemies.,Cloud,Volcano Tower
Gatling Tower,Riddle your enemies with explosive shells.,Sun,Minigun Tower
Poison Tower,A witch who throws flasks of toxic brew upon the enemy.,Sun,Poison Tower
Pirate Tower,Lobs bombs that deal area damage.,Cloud,Pirate Tower
