Card Name,Common,Uncommon,Rare,Epic,Name,Description,Attribute 6 - Affinity
Talisman of Life,Y,Y,Y,N,Talisman of Life,Powerful totem that fortifies the wearer's life force.,Neutral
Girdle of Pain,N,Y,Y,Y,Girdle of Pain,A treacherous belt that generates Mana by feeding on its wearer.,Neutral
Ring of Might,N,Y,Y,Y,Ring of Might,A potent ring that strengthens the wearer's sword arm.,Neutral
Ring of Regeneration,N,Y,Y,Y,Ring of Regeneration,A ring of power that gradually heals the wearer.,Neutral
Leather Cuirass,Y,Y,Y,Y,Leather Cuirass,Tough studded leather armor that protects the wearer from physical blows.,Neutral
Dragon Mail,Y,Y,Y,Y,Dragon Mail,Made from dragon scales that deflect magic and physical damage.,Neutral
Vermilion Plate,N,Y,Y,Y,Vermilion Plate,Legendary suit of antique armor that fortifies the wearer against poison.,Neutral
Steel-Toe Boots,Y,Y,Y,Y,Steel-Toe Boots,"Sturdy boots with a steel-capped toe, perfect for kicking butt.",Neutral
Boots of the March,N,Y,Y,Y,Boots of the March,Boots that quicken the wearer's pace and boost their health.,Neutral
Slippers of Swiftness,Y,Y,Y,N,Slippers of Swiftness,Red-hot booties that let the wearer run like the wind.,Neutral
Boots of Quantum Stride,N,N,Y,Y,Boots of Quantum Stride,Pan-dimensional footwear that warps you across the battlefield in style.,Neutral
Iron Cap,Y,Y,N,N,Iron Cap,Sturdy metal helmet that keeps the wearer's skull intact.,Neutral
Helm of Many Eyes,N,Y,Y,Y,Helm of Many Eyes,A sinister chapeau that lets its wearer see the invisible.,Neutral
Vermilion Helm,N,Y,Y,Y,Vermilion Helm,Legendary crested helm that deflects both magical and physical damage.,Neutral
Helm of the Valkyrie,Y,Y,Y,Y,Helm of the Valkyrie,Winged helmet that protects the wearer from magical attacks.,Neutral
Wooden Shield,Y,Y,N,N,Wooden Shield,A stout wooden shield that fends off physical blows.,Neutral
Magic Buckler,Y,Y,N,N,Magic Buckler,An enchanted shield that deflects magic attacks.,Neutral
Scarlet Shield,N,Y,Y,Y,Scarlet Shield,Legendary shield from the ancient forges of the Vermilion Foundry.,Neutral
Valkyrie Shield,N,Y,Y,Y,Valkyrie Shield,A heavy shield that trades speed for protection.,Neutral
Glyph of Fatigue,Y,Y,Y,Y,Glyph of Fatigue,Slows down enemies who set foot in its circle.,Neutral
Artillery,Y,Y,Y,Y,Artillery,Fires a barrage of heavy artillery rounds at the enemy.,Moon
Bear Trap,Y,Y,Y,Y,Bear Trap,Snaps a single enemy in its jaws when stepped on.,Sun
Big Bomb,Y,Y,Y,Y,Big Bomb,Plant a big bomb that lights its fuse when an enemy nears it.,Moon
Bladestorm,Y,Y,Y,Y,Bladestorm,Call down a deadly deluge of blades.,Sun
Electric Cascade,N,Y,Y,Y,Electric Cascade,A vicious stream of electricity that jumps from foe to foe.,Moon
Clarion Call,Y,Y,Y,Y,Clarion Call,Summon a trio of troops to fight at your side.,Cloud
Space Beam,N,Y,Y,Y,Space Beam,Does major damage against the strongest enemies on the battlefield.,Cloud
Red Dragon,Y,Y,Y,Y,Red Dragon,Scorch your enemies with a firebreathing Dragon that deals massive area damage.,Cloud
Black Dragon,N,Y,Y,Y,Black Dragon,Scorch enemies with armor-penetrating dragon fire.,Sun
Green Dragon,N,Y,Y,Y,Green Dragon,Summon a plague dragon that breathes poisonous dragon fire.,Moon
Elven Rangers,N,Y,Y,Y,Elven Rangers,Deploy a squad to deal with any threat.,Sun
Armageddon,N,Y,Y,Y,Armageddon,Blanket the battlefield in a cleansing rain of destruction.,Moon
Flare,Y,Y,Y,Y,Flare,A blazing torch that exposes all invisible units within its range.,Neutral
Freeze,Y,Y,Y,Y,Freeze,Snap-freeze enemies in a giant block of ice.,Cloud
Frost Storm,N,Y,Y,Y,Frost Storm,Freezes all enemies for a short while.,Neutral
Guardian of Time,Y,Y,Y,Y,Guardian of Time,Raise a stone guardian that teleports enemies backward.,Neutral
Healing Spring,Y,Y,Y,Y,Healing Spring,Place a soothing shrine that heals nearby Heroes.,Neutral
Hungry Teeth,N,Y,Y,Y,Hungry Teeth,A set of vicious jaws trained to aim at the biggest foe in the vicinity.,Cloud
Lava Floor,N,Y,Y,Y,Lava Floor,Set the ground on fire and burn all enemies who are dumb enough to try to cross it.,Sun
Lightning Goose,N,Y,Y,Y,Lightning Goose,Summon a Lightning Goose to fight at your side.,Moon
Wrath of Zeus,N,Y,Y,Y,Wrath of Zeus,Darken the entire battlefield with the fury of the thunder god to strike multiple enemies.,Cloud
Egg of Mana,N,Y,Y,Y,Egg of Mana,Conjure up Mana from thin air.,Neutral
Meteor Strike,Y,Y,Y,Y,Meteor Strike,Slam a meteor into a pile of enemies.,Cloud
Shrink Curse,N,Y,Y,Y,Shrink Curse,Downsize your enemies to have them receive more damage.,Neutral
Pumpkin Bomb,N,Y,Y,Y,Pumpkin Bomb,Explodes when enemies get too close.,Cloud
Rally,Y,Y,Y,Y,Rally,"Teleport your Heroes right where you need them, and grant them a burst of courage.",Neutral
Sky Fist,N,Y,Y,Y,Sky Fist,Swat enemies like they were flies with a mighty fist from the skies.,Moon
Spider Mine,Y,Y,Y,Y,Spider Mine,Erupts in a cloud of poison when stepped on.,Sun
Thunder Moose,Y,Y,Y,Y,Thunder Moose,Summon a surly Thunder Moose to fight at your side.,Sun
Thunderstorm,Y,Y,Y,Y,Thunderstorm,Call in a thunderstorm that rains bolts of lightning down on your enemies.,Cloud
Totem of Might,Y,Y,Y,Y,Totem of Might,Plant a tribal totem that makes nearby Heroes hit harder.,Sun
Plague Ward,Y,Y,Y,Y,Plague Ward,Plant a poison ward that infects any enemy passing by.,Cloud
Warcry,N,Y,Y,Y,Warcry,Summon 7 warriors to fight at your side.,Moon
Steel Sword,Y,Y,Y,N,Steel Sword,"A trusty infantry sword, quick and stabby.",Neutral
Crystalline,N,Y,Y,Y,Crystalline,A sword carved from a shard of crystal that crackles with magic energy.,Neutral
Heroic Halberd,Y,Y,Y,Y,Heroic Halberd,A heavy-hitting halberd with a ponderous swing.,Neutral
Staff of Dawn,N,Y,Y,Y,Staff of Dawn,A staff that smites enemies with bursts of magical light.,Neutral
Salamander's Sting,N,Y,Y,Y,Salamander's Sting,A white-hot magical blade.,Neutral
Crimson Talwar,N,Y,Y,Y,Crimson Talwar,A towering scarlet scimitar forged in the cold fires of the Vermilion Foundry.,Neutral
Fangblade,N,Y,Y,Y,Fangblade,A vicious cutlass that drips with venom.,Neutral
Aquarium Tower,N,Y,Y,Y,Aquarium Tower,Targets random enemies with high-impact blowfishes.,Cloud
Archer Tower,Y,Y,Y,Y,Archer Tower,Fast-firing archer that rains arrows upon your enemies' heads.,Sun
Bolas Tower,Y,Y,Y,Y,Bolas Tower,Stuns enemies.,Moon
Crossbow Tower,N,Y,Y,Y,Crossbow Tower,Unleashes volleys of explosive bolts at your foes.,Moon
Tech Tower,N,N,Y,Y,Tech Tower,An electrical specialist with a far-reaching chain of lightning to zap an unlucky foe nearby.,Sun
Illuminator Tower,Y,Y,Y,Y,Illuminator Tower,Reveals hidden units and blasts them with eldritch light.,Cloud
Javelin Tower,Y,Y,Y,Y,Javelin Tower,Throws javelins at enemies that do great damage.,Moon
Kiriko Tower,N,Y,Y,Y,Kiriko Tower,Sinister tower to end enemies lives with poison area damage.,Moon
Lightning Tower,Y,Y,Y,Y,Lightning Tower,Zaps foes with lightning bolts that penetrate armor.,Cloud
Longbow Tower,N,N,Y,Y,Longbow Tower,Remarkably long shooting range while sacrificing close combat abilities.,Cloud
Dart Tower,Y,Y,Y,Y,Dart Tower,Throws magical darts at enemies that extract extra mana.,Cloud
Mana Tower,N,Y,Y,Y,Mana Tower,Generates extra Mana to boost your battle power.,Neutral
Gatling Tower,N,Y,Y,Y,Gatling Tower,Riddle your enemies with explosive shells.,Sun
Moonlight Tower,N,Y,Y,Y,Moonlight Tower,"Shines a devastating beam of light to the strongest enemy in range, damaging close-by units as well.",Moon
Mortar Tower,Y,Y,Y,Y,Mortar Tower,Heavy artillery with a wide blast area.,Moon
Necromancer Tower,N,Y,Y,Y,Necromancer Tower,Raises skeletons from killed enemies to fight for you.,Sun
Prism of the Sun,N,Y,Y,Y,Prism of the Sun,Burns the strongest enemy in range with a devastating beam of light.,Sun
Holy Tower,Y,Y,Y,Y,Holy Tower,Smites the Undead with divine light; 0.5x damage against all other enemies.,Moon
Pinoko Tower,N,Y,Y,Y,Pinoko Tower,Reliable single-target tower to hit enemies without fail.,Sun
Pirate Tower,Y,Y,Y,Y,Pirate Tower,Lobs bombs that deal area damage.,Cloud
Poison Tower,Y,Y,Y,Y,Poison Tower,A witch who throws flasks of toxic brew upon the enemy.,Sun
Storm Tower,Y,Y,Y,Y,Storm Tower,Fries multiple enemies with cascades of supercharged plasma.,Moon
Rocket Tower,N,Y,Y,Y,Rocket Tower,Long range tower with explosive fireworks ammunition.,Cloud
Scout Tower,N,Y,Y,Y,Scout Tower,Focuses on one enemy and increases damage for every hit against that target.,Sun
Shotgun Tower,N,Y,Y,Y,Shotgun Tower,Close combat tower that prioritises enemies with high health.,Cloud
Slowdown Tower,Y,Y,Y,Y,Slowdown Tower,Slows enemy units to a crawl.,Sun
Sniper Tower,Y,Y,Y,Y,Sniper Tower,Long-range marksman whose shot is deadly but slow to reload.,Moon
Snowball Tower,Y,Y,Y,Y,Snowball Tower,"Cheap and cheerful, their snowballs pack a wallop.",Cloud
Lazy Tower,N,Y,Y,Y,Lazy Tower,Slows down groups of enemies.,Cloud
Venom Tower,N,N,Y,Y,Venom Tower,Unable to strike enemies nearby but the ones further away are susceptible to his poison attacks.,Cloud
Volcano Tower,Y,Y,Y,Y,Volcano Tower,Spews balls of molten rock at random enemies.,Cloud
Well of Souls,N,Y,Y,Y,Well of Souls,Grows in power as it swallows the souls of its victims.,Sun
Ace,Y,Y,Y,Y,Ace,A dastardly card-sharp who steals Mana from her victims.,Cloud
Behemoth,Y,Y,Y,Y,Behemoth,A lumbering beast who can shake off even the most grievous wounds.,Moon
Black Jack,N,Y,Y,Y,Black Jack,Dexterous doctor who's a skillful fighter with his scalpel and able to regenerate mana.,Cloud
Blink,Y,Y,Y,Y,Blink,A nimble ninja who can slip across the battlefield in the blink of an eye.,Moon
Cindara,Y,Y,Y,Y,Cindara,A wicked fireball throwing witch.,Moon
Cobra,Y,Y,Y,Y,Cobra,"Adventurer, man's man, and snake-tamer extraordinaire.",Moon
Drake,N,Y,Y,Y,Drake,Haughty warrior-prince of the draconic Order of the Spear.,Sun
Dundee,Y,Y,Y,Y,Dundee,A nimble crocodile-hunter who shrugs off poison.,Cloud
Frostbeard,N,Y,Y,Y,Frostbeard,An ancient giant of tremendous power.,Cloud
Furnace,N,Y,Y,Y,Furnace,Born in the magma cauldrons of the deep and filled with fiery vengeance.,Moon
Haunt,N,Y,Y,Y,Haunt,A relentless undead warrior who's highly resistant to Magic.,Sun
Holly,Y,Y,Y,Y,Holly,A holy cleric who uses her powers to heal nearby Heroes.,Cloud
Oracle,Y,Y,Y,Y,Oracle,A powerful seer who conjures spirits from beyond and reveals what is hidden.,Cloud
iRon,N,Y,Y,Y,iRon,A robotic rust-bucket who's born to roll. Packs a mighty mortar.,Cloud
Knuckle,Y,Y,Y,Y,Knuckle,A thrilla and a chilla - this big bruiser lets his icy fists do the talking.,Sun
Sapphira,Y,Y,Y,Y,Sapphira,Fragile in close combat but a deadly shot with a bow.,Moon
Oni,Y,Y,Y,Y,Oni,A menacing samurai who's fearsome in a melee.,Moon
Ruby,N,Y,Y,Y,Ruby,Wields a mighty hammer to cause damage even to the nearby enemies of the initial target.,Sun
Shelly,Y,Y,Y,Y,Shelly,A crack shot with a rifle - she's the one granny you don't wanna cross.,Sun
Centurion,Y,Y,Y,Y,Centurion,A fearless knight encased in armor from head to toe.,Sun
Wolfric,Y,Y,Y,Y,Wolfric,A mystic shaman who mauls his enemies with Magical spirit animals.,Sun
Umbra,Y,Y,Y,Y,Umbra,Wields venomous blades and is highly resistant to Poison.,Cloud
Valorius,Y,Y,Y,Y,Valorius,A mighty paladin who boosts the damage of nearby allies.,Sun
