Card,Description,Affinity,subtype,rarity,Rank,Level,Dmg. type,Phys. Dmg. Min.,Phys. Dmg. Max.,Dmg (Avg),Reload,DPS,Phys Def,Psn Def,Mag Def,Velocity,Health,Reveal_Invisible_Radius,Regenerate,Generate Mana
Salamander's Sting,A white-hot magical blade.,Neutral,Weapon,Common,1,1,Magical,60.0,160.0,110.0,1.0,110.0,,,,,,,,
Salamander's Sting,A white-hot magical blade.,Neutral,Weapon,Uncommon,1,1,Magical,88.0,237.0,162.5,1.0,162.5,,,,,,,,
Salamander's Sting,A white-hot magical blade.,Neutral,Weapon,Rare,1,1,Magical,160.0,435.0,297.5,1.0,297.5,,,,,,,,
Salamander's Sting,A white-hot magical blade.,Neutral,Weapon,Epic,1,1,Magical,370.0,1010.0,690.0,1.0,690.0,,,,,,,,
Heroic halberd,A heavy-hitting halberd with a ponderous swing.,Neutral,Weapon,Common,1,1,Physical,42.0,282.0,162.0,1.5,108.0,,,,,,,,
Heroic halberd,A heavy-hitting halberd with a ponderous swing.,Neutral,Weapon,Uncommon,1,1,Physical,74.0,428.0,251.0,1.5,167.3,,,,,,,,
Heroic halberd,A heavy-hitting halberd with a ponderous swing.,Neutral,Weapon,Rare,1,1,Physical,125.0,806.0,465.5,1.5,310.3,,,,,,,,
Heroic halberd,A heavy-hitting halberd with a ponderous swing.,Neutral,Weapon,Epic,1,1,Physical,285.0,1881.0,1083.0,1.5,722.0,,,,,,,,
Staff of Dawn,A staff that smites enemies with bursts of magical light.,Neutral,Weapon,Common,1,1,Magical,107.0,214.0,160.5,1.4,114.6,,,,,,,,
Staff of Dawn,A staff that smites enemies with bursts of magical light.,Neutral,Weapon,Uncommon,1,1,Magical,160.0,320.0,240.0,1.4,171.4,,,,,,,,
Staff of Dawn,A staff that smites enemies with bursts of magical light.,Neutral,Weapon,Rare,1,1,Magical,295.0,590.0,442.5,1.4,316.1,,,,,,,,
Staff of Dawn,A staff that smites enemies with bursts of magical light.,Neutral,Weapon,Epic,1,1,Magical,682.0,1364.0,1023.0,1.4,730.7,,,,,,,,
Crimson Talwar,A towering scarlet scimitar forged in the cold fires of the Vermilion Foundry.,Neutral,Weapon,Common,1,1,Physical,164.0,214.0,189.0,1.3,145.4,,,,,,,,
Crimson Talwar,A towering scarlet scimitar forged in the cold fires of the Vermilion Foundry.,Neutral,Weapon,Uncommon,1,1,Physical,244.0,314.0,279.0,1.3,214.6,,,,,,,,
Crimson Talwar,A towering scarlet scimitar forged in the cold fires of the Vermilion Foundry.,Neutral,Weapon,Rare,1,1,Physical,444.0,576.0,510.0,1.3,392.3,,,,,,,,
Crimson Talwar,A towering scarlet scimitar forged in the cold fires of the Vermilion Foundry.,Neutral,Weapon,Epic,1,1,Physical,1025.0,1325.0,1175.0,1.3,903.8,,,,,,,,
Fangblade,A vicious cutlass that drips with venom.,Neutral,Weapon,Common,1,1,Poison,120.0,222.0,171.0,1.0,171.0,,,,,,,,
Fangblade,A vicious cutlass that drips with venom.,Neutral,Weapon,Uncommon,1,1,Poison,181.0,336.0,258.5,1.0,258.5,,,,,,,,
Fangblade,A vicious cutlass that drips with venom.,Neutral,Weapon,Rare,1,1,Poison,342.0,635.0,488.5,1.0,488.5,,,,,,,,
Fangblade,A vicious cutlass that drips with venom.,Neutral,Weapon,Epic,1,1,Poison,808.0,1499.0,1153.5,1.0,1153.5,,,,,,,,
Iron Cap,Sturdy metal helmet that keeps the wearer's skull intact.,Neutral,Helmet,Common,1,1,,,,,,,3.0,0.0,,,,,,
Iron Cap,Sturdy metal helmet that keeps the wearer's skull intact.,Neutral,Helmet,Uncommon,1,1,,,,,,,4.5,0.0,,,,,,
